candidate_id,fold,model,window,outer_train_engine_count,outer_eval_engine_count,inner_fit_engine_count,inner_stop_engine_count,inner_seed,best_epoch,best_iteration,validation_sample_count,RMSE,MAE,R2,NASA_total,NASA_mean_per_engine,signed_bias_mean,training_time,parameters,notes,feature_count
rf_w60,5,rf,60,68,17,58,10,,,,85,37.5938,32.2566,0.5342,11536.05,678.5914,23.8302,80.89,n_estimators=300,variable-history features (observed cycles up to cutoff only); no early stopping,21
rf_w90,1,rf,90,68,17,58,10,,,,85,29.1994,22.296,0.7662,10969.18,645.2458,7.3423,79.02,n_estimators=300,variable-history features (observed cycles up to cutoff only); no early stopping,21
rf_w90,2,rf,90,68,17,58,10,,,,85,30.17,24.8592,0.6631,14743.19,867.2466,20.7532,80.42,n_estimators=300,variable-history features (observed cycles up to cutoff only); no early stopping,21
rf_w90,3,rf,90,68,17,58,10,,,,85,31.9632,22.3859,0.6277,591482.01,34793.0593,13.5306,82.02,n_estimators=300,variable-history features (observed cycles up to cutoff only); no early stopping,21
rf_w90,4,rf,90,68,17,58,10,,,,85,34.5474,26.7075,0.6381,35443.96,2084.9387,15.551,80.64,n_estimators=300,variable-history features (observed cycles up to cutoff only); no early stopping,21
rf_w90,5,rf,90,68,17,58,10,,,,85,29.8519,22.54,0.7063,30886.98,1816.8811,13.2342,79.84,n_estimators=300,variable-history features (observed cycles up to cutoff only); no early stopping,21
xgb_w60_d6,1,xgboost,60,68,17,58,10,4201,,93,85,32.6904,26.8809,0.7069,11584.63,681.4489,12.1971,13.26,"n_estimators=94,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w60_d6,2,xgboost,60,68,17,58,10,4202,,75,85,36.5656,32.363,0.5051,12451.78,732.4576,29.0037,12.56,"n_estimators=76,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w60_d6,3,xgboost,60,68,17,58,10,4203,,178,85,33.5065,29.7157,0.5909,4122.81,242.5184,20.4643,17.23,"n_estimators=179,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w60_d6,4,xgboost,60,68,17,58,10,4204,,148,85,38.2937,33.742,0.5554,11454.67,673.8043,23.1493,15.62,"n_estimators=149,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w60_d6,5,xgboost,60,68,17,58,10,4205,,66,85,35.2692,31.3719,0.59,7063.36,415.492,24.202,12.11,"n_estimators=67,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w90_d6,1,xgboost,90,68,17,58,10,4201,,100,85,26.0946,19.555,0.8132,3634.19,213.776,5.497,13.88,"n_estimators=101,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w90_d6,2,xgboost,90,68,17,58,10,4202,,91,85,29.616,24.3184,0.6754,7259.32,427.0191,20.8562,14.14,"n_estimators=92,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w90_d6,3,xgboost,90,68,17,58,10,4203,,69,85,25.643,20.731,0.7604,3254.79,191.4585,13.1157,12.9,"n_estimators=70,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w90_d6,4,xgboost,90,68,17,58,10,4204,,97,85,32.1987,26.2097,0.6856,7524.33,442.6075,15.599,14.21,"n_estimators=98,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
xgb_w90_d6,5,xgboost,90,68,17,58,10,4205,,53,85,28.2122,22.5762,0.7377,9609.24,565.2494,14.0732,11.73,"n_estimators=54,max_depth=6",variable-history features; fixed n_estimators = best_iteration + 1; outer eval untouched,21
