candidate_id,fold,engine_id,n_checkpoints,RMSE,MAE,NASA_sum,signed_bias_mean
rf_w60,1,16,5,35.38120364135611,32.862,145.86115707749292,2.7540000000000022
rf_w60,1,20,5,41.88167010890458,38.212666666666664,312.02607015433733,0.43400000000000033
rf_w60,1,21,5,27.153447335876567,24.468,93.98148612670568,15.760000000000002
rf_w60,1,29,5,22.082960449682066,21.077333333333335,44.04858378042575,17.173333333333332
rf_w60,1,36,5,19.406418697602778,19.160666666666668,30.705837127632336,19.160666666666668
rf_w60,1,40,5,24.49183877675718,21.403333333333336,83.13464768485245,19.49533333333333
rf_w60,1,47,5,32.022968805392026,28.607333333333326,174.45681966662855,27.42733333333333
rf_w60,1,59,5,32.043177086203194,29.785999999999994,194.339162921178,23.365999999999993
rf_w60,1,66,5,27.912772822968815,23.913999999999998,152.3094662340536,14.52866666666667
rf_w60,1,68,5,22.59811137634687,18.111333333333334,83.86592281144605,12.382000000000001
rf_w60,1,69,5,69.72573953235157,55.370000000000005,38691.507622316414,-28.51
rf_w60,1,72,5,34.6844940699571,29.292,536.2192579537566,27.42133333333333
rf_w60,1,76,5,28.733500579559664,24.655333333333335,97.53580105120828,2.5793333333333353
rf_w60,1,79,5,35.351330259427456,30.350666666666665,435.5686644840877,30.350666666666665
rf_w60,1,83,5,41.71007378985988,36.214,383.21856801512746,0.6313333333333304
rf_w60,1,86,5,44.76022994181827,34.702,722.8747226538477,0.02866666666666191
rf_w60,1,95,5,37.34386893007561,31.397333333333336,237.35926102207588,3.020000000000002
rf_w90,1,16,5,31.4965781210171,25.463333333333335,120.56315880360266,-0.9700000000000031
rf_w90,1,20,5,36.28902396042088,31.682000000000006,181.59448917178054,-1.2046666666666652
rf_w90,1,21,5,19.284241177131594,18.448666666666668,28.596896602222365,10.313999999999997
rf_w90,1,29,5,14.380689753199524,11.831333333333331,18.734834851282322,8.328666666666667
rf_w90,1,36,5,15.5075135194381,13.724666666666664,19.629265307120694,13.724666666666664
rf_w90,1,40,5,15.682675508697843,14.772,20.909893965007424,14.772
rf_w90,1,47,5,20.3128072352833,19.052,36.70846397121879,19.052
rf_w90,1,59,5,22.143987194922435,20.618666666666666,45.21011786222556,10.94133333333333
rf_w90,1,66,5,19.132712649630562,14.097333333333335,41.45109972512707,13.338666666666672
rf_w90,1,68,5,16.40170255390174,12.851333333333335,24.819313505169063,10.552666666666667
rf_w90,1,69,5,60.39927747912222,46.29333333333334,9248.363886044399,-21.135999999999996
rf_w90,1,72,5,25.03497806403406,19.551333333333332,96.0953412268585,18.286
rf_w90,1,76,5,27.360775330144914,23.7,71.65686957116897,7.790666666666668
rf_w90,1,79,5,21.433672677458812,19.112000000000002,48.1107741266218,19.112000000000002
rf_w90,1,83,5,30.241725075722044,25.009999999999998,95.72211235331211,3.322
rf_w90,1,86,5,42.74762693868385,31.98266666666667,646.6500449675348,-2.1693333333333342
rf_w90,1,95,5,36.84400457785952,30.840666666666664,224.36171254914638,0.7646666666666662
rf_w90,2,2,5,26.236349466595637,23.868666666666666,53.741258797217114,2.4246666666666714
rf_w90,2,9,5,36.57104996517813,33.13933333333333,360.8219287560661,33.13933333333333
rf_w90,2,13,5,27.366909905536975,26.420666666666666,84.55651169077282,26.420666666666666
rf_w90,2,19,5,21.168596552440604,19.03733333333334,45.98035494518942,19.03733333333334
rf_w90,2,25,5,22.313568965990182,18.848000000000003,36.403966694109556,4.237333333333333
rf_w90,2,39,5,37.65162826639919,29.405333333333335,674.0849928427643,29.405333333333335
rf_w90,2,43,5,19.33803517538544,17.57066666666667,37.66066881767048,17.57066666666667
rf_w90,2,48,5,34.59131991314199,29.744,323.0848023832911,26.304000000000002
rf_w90,2,51,5,28.784418817594126,24.403333333333336,132.71972450020604,24.214000000000006
rf_w90,2,53,5,27.114183045450993,23.68333333333333,165.86201734668245,23.68333333333333
rf_w90,2,55,5,24.976019209544894,19.288666666666664,116.78639345550907,18.047333333333334
rf_w90,2,57,5,49.048944738903394,36.495333333333335,11418.176204719013,36.495333333333335
rf_w90,2,60,5,34.213194108576175,31.334000000000003,311.93763253345736,31.334000000000003
rf_w90,2,75,5,22.605786968040828,18.409333333333333,38.416195919555875,-1.268000000000002
rf_w90,2,78,5,18.293370201614938,15.888666666666671,25.352399271530743,6.690000000000003
rf_w90,2,99,5,41.325484442949296,35.43666666666666,874.8505180843972,35.43666666666666
rf_w90,2,100,5,21.15711485266573,19.63266666666667,42.75734963512156,19.63266666666667
rf_w90,3,3,5,14.49364696072808,14.14466666666667,16.604909194625737,14.14466666666667
rf_w90,3,6,5,9.381711523550013,9.268,6.712711532346942,1.5626666666666658
rf_w90,3,7,5,26.049016488151718,18.026000000000003,71.57599644516343,-7.067333333333335
rf_w90,3,8,5,24.094481571974576,21.943333333333335,69.98617879181386,21.943333333333335
rf_w90,3,10,5,16.113474347748706,13.403333333333336,23.785410974959326,8.504666666666669
rf_w90,3,17,5,33.19090049329116,23.370666666666665,213.87529070055822,-7.522666666666664
rf_w90,3,24,5,65.5977085812539,47.194,538567.6854221956,47.194
rf_w90,3,26,5,13.99616002893492,12.585999999999997,13.5317410600932,5.251333333333333
rf_w90,3,41,5,26.968598447494863,22.794666666666664,117.99449057010916,22.794666666666664
rf_w90,3,45,5,63.32366650787049,46.61933333333333,51165.747897362475,46.61933333333333
rf_w90,3,52,5,17.63418132806599,13.841333333333333,19.227920440558137,0.1573333333333359
rf_w90,3,56,5,42.683247481366216,35.494,408.23862662508986,-7.928666666666669
rf_w90,3,62,5,22.18905731310919,21.33133333333333,44.61633652967615,21.33133333333333
rf_w90,3,73,5,16.433156388499718,14.744666666666669,21.866666786220808,8.511333333333331
rf_w90,3,87,5,13.492123216487796,12.912666666666667,12.141309217062075,1.638000000000001
rf_w90,3,90,5,23.03918275942579,18.27466666666667,76.84140785177229,18.27466666666667
rf_w90,3,91,5,40.06681428148071,34.611333333333334,631.5752936892686,34.611333333333334
rf_w90,4,1,5,15.94582028132904,13.48866666666667,23.162812533529305,13.48866666666667
rf_w90,4,11,5,22.33119860444377,21.196000000000005,46.12234668708305,12.038666666666668
rf_w90,4,23,5,22.551481399973113,20.81533333333333,54.31031916263406,20.81533333333333
rf_w90,4,28,5,38.435157343245,32.238666666666674,1080.4498572849611,32.238666666666674
rf_w90,4,44,5,22.931486602001574,21.832666666666665,55.00796767779619,21.832666666666665
rf_w90,4,54,5,21.985743512052938,19.014,33.795858927920534,2.927333333333332
rf_w90,4,58,5,31.185832538367652,26.347999999999995,247.95712340218975,26.347999999999995
rf_w90,4,61,5,37.446483353654926,31.822666666666663,585.7513894319844,31.822666666666663
rf_w90,4,63,5,21.53990730404072,20.739333333333338,42.21403541598769,20.739333333333338
rf_w90,4,65,5,32.80977804794716,28.968666666666667,268.8179306602171,28.968666666666667
rf_w90,4,67,5,62.817136922269164,48.87266666666667,9119.606459999311,-0.176666666666668
rf_w90,4,70,5,41.46181571304159,36.22333333333334,674.2430896339067,36.22333333333334
rf_w90,4,71,5,20.680452659993254,17.540666666666663,30.915027144867647,1.4579999999999997
rf_w90,4,82,5,14.598564769638596,13.53866666666666,16.725112105926215,13.53866666666666
rf_w90,4,85,5,23.608206388645634,20.871999999999996,76.90061352004892,20.871999999999996
rf_w90,4,92,5,64.16700292552586,48.522000000000006,22713.867480653014,-9.934000000000003
rf_w90,4,94,5,40.571546515589795,31.99333333333333,374.1102412996246,-8.834666666666667
rf_w90,5,4,5,18.63161977809647,17.381999999999998,29.13654467701756,14.996666666666664
rf_w90,5,5,5,30.020000407135978,24.78733333333333,92.12484332711459,-6.249999999999998
rf_w90,5,12,5,30.95049750093777,27.39133333333333,256.19250724290566,27.39133333333333
rf_w90,5,14,5,14.834783524616132,13.328666666666667,18.494839487504052,13.328666666666667
rf_w90,5,15,5,14.058182196381816,12.906,15.981926348665986,10.209999999999997
rf_w90,5,18,5,25.99764647467578,24.91733333333333,80.18012976650624,24.91733333333333
rf_w90,5,30,5,26.109686580526642,21.51866666666666,106.5840401639951,21.51866666666666
rf_w90,5,32,5,27.270799727506667,25.77,92.59095614832933,25.77
rf_w90,5,35,5,12.016900413815351,11.063333333333334,11.731833651402114,11.063333333333334
rf_w90,5,37,5,13.021442060437595,11.991333333333332,13.719648390366629,11.991333333333332
rf_w90,5,42,5,23.235549583438836,20.390666666666668,69.33032570825875,13.250666666666671
rf_w90,5,64,5,47.68029052390982,35.206,1699.0951489981576,-7.43533333333333
rf_w90,5,74,5,36.44309298984743,32.29733333333333,387.1089765572865,32.29733333333333
rf_w90,5,80,5,26.043312897299888,24.350666666666665,74.02046257867761,24.350666666666665
rf_w90,5,89,5,19.63546275945076,17.652666666666665,33.01657042220209,11.206
rf_w90,5,96,5,64.38534595180283,45.55866666666667,27488.53902910015,-18.29733333333333
rf_w90,5,98,5,27.556885286016396,16.667333333333335,419.1311694035289,14.672666666666668
xgb_w60_d6,1,16,5,40.01600914798309,36.48097915649414,252.1427260759757,2.6068763732910156
xgb_w60_d6,1,20,5,36.67529650500577,31.81082763671875,252.48735919806737,7.1497650146484375
xgb_w60_d6,1,21,5,28.2191142503117,26.5588737487793,102.84008194085669,16.959535980224608
xgb_w60_d6,1,29,5,17.283432939597876,16.186812973022462,24.856223031398883,16.186812973022462
xgb_w60_d6,1,36,5,20.823424808276958,19.4663387298584,43.136854819430795,19.4663387298584
