candidate_id,fold,model,window,train_engine_count,validation_engine_count,validation_sample_count,RMSE,MAE,R2,NASA_total,NASA_mean,signed_bias_mean,training_time,parameters,notes,feature_count
gru_w60_huber,1,gru,60,68,17,85,21.2163,13.1296,0.8765,2496.28,29.3681,-3.477,355.08,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
gru_w60_huber,2,gru,60,68,17,85,24.2645,15.05,0.7821,15704.59,184.7599,3.856,399.19,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
gru_w60_huber,3,gru,60,68,17,85,21.8954,15.1578,0.8253,1365.1,16.06,0.0226,424.41,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
gru_w60_huber,4,gru,60,68,17,85,27.3326,18.7661,0.7735,8143.7,95.8083,6.8527,314.87,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
gru_w60_huber,5,gru,60,68,17,85,52.1745,41.6888,0.1028,241298.65,2838.8076,8.2055,206.58,m1_gru;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
lstm_w60_huber,1,lstm,60,68,17,85,25.9002,14.828,0.816,141759.19,1667.7552,-5.0998,521.24,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
lstm_w60_huber,2,lstm,60,68,17,85,16.6312,12.2179,0.8976,397.43,4.6756,1.2403,244.32,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
lstm_w60_huber,3,lstm,60,68,17,85,20.3979,14.1526,0.8484,1021.84,12.0217,-0.0733,357.3,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
lstm_w60_huber,4,lstm,60,68,17,85,26.0266,16.8476,0.7946,36008.83,423.6333,5.4986,335.91,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
lstm_w60_huber,5,lstm,60,68,17,85,21.796,14.4516,0.8434,3357.97,39.5056,-0.9247,337.96,m1_lstm;loss=huber;bs=256;es_patience=8,padded+masked training sequences (shared history builder); raw-RUL targets,21
